deltaE,probe,matchedHex,isBackground,sharePercent,memberBins,labDistanceToProbe
4,"background (deltaE=14 anchor)",#c8bba7,true,10.5273,2,0.97
4,"highlight/cream",#ded2c2,false,17.7534,25,7.17
4,"ink-dark",#2e1e11,false,2.2543,14,0.00
4,"ink-mid",#4e3b2c,false,5.7252,17,0.00
4,"blue-accent",#4e5c6d,false,0.1726,12,0.00
4,"green-accent",#6c7e6a,false,0.1388,14,0.00
4,"gray-accent",#757b7d,false,0.1835,14,0.00
4.5,"background (deltaE=14 anchor)",#c6b9a6,true,14.2118,5,1.15
4.5,"highlight/cream",#e4d8cb,false,8.4106,17,5.18
4.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
4.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
4.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
4.5,"green-accent",#6c7e6a,false,0.1388,14,0.00
4.5,"gray-accent",#757b7d,false,0.1835,14,0.00
5,"background (deltaE=14 anchor)",#c7baa8,true,16.6579,6,1.71
5,"highlight/cream",#e3d7cb,false,8.9935,21,5.65
5,"ink-dark",#2e1e11,false,2.2543,14,0.00
5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
5,"green-accent",#6c7e6a,false,0.1388,14,0.00
5,"gray-accent",#757b7d,false,0.1835,14,0.00
5.5,"background (deltaE=14 anchor)",#c7b9a4,true,23.4554,7,0.00
5.5,"highlight/cream",#e3d7cb,false,8.9935,21,5.65
5.5,"ink-dark",#2e1e11,false,2.2543,14,0.00
5.5,"ink-mid",#4e3b2c,false,5.7252,17,0.00
5.5,"blue-accent",#4e5c6d,false,0.1726,12,0.00
5.5,"green-accent",#6c7e6a,false,0.1388,14,0.00
5.5,"gray-accent",#757b7d,false,0.1835,14,0.00
6,"background (deltaE=14 anchor)",#c7b9a5,true,39.3690,12,0.53
6,"highlight/cream",#e3d7cb,false,8.9935,21,5.65
6,"ink-dark",#2e1e11,false,2.2543,14,0.00
6,"ink-mid",#4e3b2c,false,5.7252,17,0.00
6,"blue-accent",#4e5c6d,false,0.1726,12,0.00
6,"green-accent",#6c7e6a,false,0.1388,14,0.00
